[?1034husig.fChiSqRatio, usig.fChiSquare, usig.fChiSquareInd, usig.fChiSquareIndRestr, usig.fChiSquareIndRestr, usig.fRisetime, usig.fUnshapedInteg, trueChEnergy
-2.51354388786 1.10571481997 213.054607272 399.998498476 399.998498476 7108.52495544 55.856623476 1289.24658013
-1.74284340609 0.982307950668 34.5913764869 62.824242333 62.824242333 17252.9411765 64.9806305335 308.036121794
-1.74284340609 0.982307950668 34.5913764869 62.824242333 62.824242333 17252.9411765 73.0938480323 308.036121794
-3.13972013935 1.0243006191 -1.0 -1.0 -1.0 7340.04926108 59.1782730682 210.149032939
-1.83035820046 0.63432221919 20.7534154287 44.8621977489 44.8621977489 13741.870915 52.8899727219 264.643156842
-1.83035820046 0.63432221919 20.7534154287 44.8621977489 44.8621977489 13741.870915 68.670019945 264.643156842
-1.50976849867 1.33254822675 24.7587290091 53.6481812933 53.6481812933 6540.35947712 53.0270728152 328.638811324
-2.53935230605 1.12203805593 200.196707995 362.556942797 362.556942797 5655.93681917 51.1379208878 0.0
-2.53935230605 1.12203805593 200.196707995 362.556942797 362.556942797 5655.93681917 52.4149899479 0.0
-2.76058628993 2.52056935348 782.308607188 1446.46407095 1446.46407095 5774.97789567 52.6332008677 1997.7382564
-1.07089732444 1.09690384458 6.69433612806 10.8615512297 10.8615512297 7473.39901478 40.2513122284 202.658150958
-1.72132846039 3.3165506191 249.376669894 341.596988287 341.596988287 11793.6580882 52.1479456479 1328.46513491
-1.72132846039 3.3165506191 249.376669894 341.596988287 341.596988287 11793.6580882 62.4466030363 1328.46513491
-1.79832018653 1.34759707656 38.3468942086 70.6067073317 70.6067073317 13038.6029412 57.9546709374 131.264568351
-2.98412656951 0.661998316495 -1.0 -1.0 -1.0 5064.74673203 58.7033336165 233.215099993
-2.26032817312 0.81990352958 86.1575941486 153.104914753 153.104914753 7856.61764706 53.9212940077 504.217691058
-1.01508352668 1.72129328028 20.5555670619 41.8397047461 41.8397047461 11135.2941176 59.2341802964 257.805205691
-2.45758893476 1.63870066056 713.930450362 779.731847815 779.731847815 5994.76049192 55.9232195781 1846.51159952
-2.73019058262 1.1008650717 -1.0 -1.0 -1.0 13412.1732026 62.2372308176 90.9877332819
-3.07563334836 0.708437438833 -1.0 -1.0 -1.0 10014.7058824 58.2122207788 218.21773744
