[?1034h
usig.fChiSqRatio, usig.fChiSquare, usig.fChiSquareInd, usig.fChiSquareIndRestr, usig.fChiSquareIndRestr, usig.fRisetime, usig.fUnshapedInteg, trueChEnergy
-2.22724622144 0.865768053525 71.172676369 142.321303689 142.321303689 5686.73406863 57.0372464357 487.705879578 481.43245007
-1.86540343099 1.0758632292 41.6033350389 79.983897069 79.983897069 5754.52586207 60.125466687 357.896648817 327.99502428
-2.71268711576 1.76503617828 592.947108747 1174.32930783 1174.32930783 5119.61834734 53.6410502127 1479.49909436 634.000338875
-2.71268711576 1.76503617828 592.947108747 1174.32930783 1174.32930783 5119.61834734 55.1628267223 1479.49909436 572.687735861
-1.57485876178 1.33958072455 42.1257001125 77.0890957048 77.0890957048 7040.625 62.2960243332 573.122097864 440.685528767
-1.96969817336 1.43134594955 67.6422397929 144.466453335 144.466453335 4659.72222222 65.3925709056 556.811927067 419.485907854
-2.59989581399 2.64093821101 1176.03366761 1291.14920269 1291.14920269 5058.02287582 54.7988849071 2614.53400001 2045.16334423
-2.2726314705 1.15459528811 91.7218289469 169.614718164 169.614718164 4986.31535948 52.2379543421 616.304682417 555.993460222
-2.77080885481 1.64205781298 745.888361205 1478.60400008 1478.60400008 5356.00333082 56.797737987 1627.31686429 1474.71572652
-1.72384630343 1.09078653351 37.902320239 63.4360435027 63.4360435027 4798.95833333 48.5456010901 370.842613307 284.867744273
-3.23932625315 1.40121645281 539.94079439 1031.14513898 1031.14513898 5282.25490196 56.1030124651 1031.20043283 917.083680146
-1.75186710073 1.39535285219 24.0578923118 43.8644280794 43.8644280794 3492.28243021 50.3409191554 511.032095124 218.773970777
-1.37706906099 0.596313396955 9.86987457513 14.30644129 14.30644129 7142.76960784 56.4454586767 209.081382482 172.784152086
-1.10639029967 0.920786521568 8.25633318914 14.9694009436 14.9694009436 7165.27777778 65.0590625062 200.399279448 191.60536231
-2.97234739687 1.04791653314 -1.0 -1.0 -1.0 5956.94444444 44.0632494183 101.644658721 103.83406911
-1.83920724242 1.03901263933 27.175572138 55.7433207823 55.7433207823 3721.01715686 55.8029297 379.483118645 282.249730984
-1.37869010924 1.38998994247 12.6354436126 25.3998178092 25.3998178092 6961.45833333 50.6025860602 171.873840155 154.636434949
-2.87187328503 0.693664721935 214.411872077 380.979355333 380.979355333 5438.45315904 41.6767198155 879.094407845 39.7897727843
-2.87187328503 0.693664721935 214.411872077 380.979355333 380.979355333 5438.45315904 58.5429207366 879.094407845 774.229904234
-1.21389239123 1.0511773081 6.47210233864 11.6628494889 11.6628494889 6327.08333333 57.1536586791 128.569493908 102.509939374
-0.792789547344 1.48639049851 5.27560288547 10.9978609439 10.9978609439 4167.27941176 70.4251531705 148.449843149 124.008906133
-1.80605010135 1.00111044529 39.4493315613 76.0028429928 76.0028429928 7935.78431373 57.7959468396 361.330656838 336.069376966
-1.88676220558 0.777265307948 16.4713850618 28.4705418104 28.4705418104 11378.6764706 47.6988395464 238.631999993 29.9875201432
-1.88676220558 0.777265307948 16.4713850618 28.4705418104 28.4705418104 11378.6764706 63.5497279988 238.631999993 206.549979053
-2.29466955882 2.80942550526 1084.64577938 1248.00458263 1248.00458263 5656.37138233 46.6630246179 2036.57031486 89.5145709958
-2.29466955882 2.80942550526 1084.64577938 1248.00458263 1248.00458263 5656.37138233 58.4673022365 2036.57031486 1488.82701801
-1.26594809505 5.72391814822 187.353830995 261.44779619 261.44779619 7328.37009804 46.9440832521 577.951335127 111.378660777
-1.26594809505 5.72391814822 187.353830995 261.44779619 261.44779619 7328.37009804 51.4711928493 577.951335127 355.542451286
-1.69891674792 0.959518618978 29.4676945294 52.6068146492 52.6068146492 5719.96833216 52.278804612 250.041838691 252.560398847
-1.74317139703 1.00502520024 36.6885813106 60.0261756442 60.0261756442 5971.55172414 55.7039725539 365.735999835 345.367455179
-1.38604420449 1.09405141796 12.3831118787 22.4711601828 22.4711601828 5694.17077176 62.7977971428 212.680300162 199.336495921
-1.48385579741 1.48401198478 28.0028083109 51.3590007009 51.3590007009 6288.88888889 42.7039926528 276.424399993 263.100081947
-1.38014468241 0.995674609748 18.3333812275 33.5638143011 33.5638143011 5425.99009901 54.0926257153 225.314101359 174.8690058
-2.76339975632 1.9079817402 1115.95823372 2185.25023783 2185.25023783 5280.80065359 57.1879119491 1689.49173922 1321.22690882
-2.52146626086 1.27924249313 167.885987479 332.316875491 332.316875491 7369.79166667 56.7029578641 746.245067961 230.167239878
-2.52146626086 1.27924249313 167.885987479 332.316875491 332.316875491 7369.79166667 62.1045735296 746.245067961 460.098428675
-1.87277635713 1.02784983016 30.3819005808 65.8452959727 65.8452959727 5593.26765189 51.729889572 336.763796574 324.755464227
-2.15968529975 1.07378864217 107.145675975 184.724345482 184.724345482 5432.35294118 56.8422095297 583.190999997 457.022192206
-2.3230759074 1.36042647813 81.3149882979 165.130926824 165.130926824 5620.73070608 53.8746612886 457.678829099 232.495845564
-2.3230759074 1.36042647813 81.3149882979 165.130926824 165.130926824 5620.73070608 55.8148786448 457.678829099 132.518404297
-2.94166056274 1.60123086685 -1.0 -1.0 -1.0 10250.0 28.1291774686 125.512170898 81.2157655868
-0.933070295235 3.19822437772 36.1177643235 67.3814952794 67.3814952794 11054.1666667 65.7547949674 553.694971176 357.081805995
-0.984523011818 0.814872459014 8.56359945955 11.5060541386 11.5060541386 5199.14215686 59.1574577404 272.554241507 174.32410519
-1.75763221243 1.26339040987 46.0215450971 93.6586045623 93.6586045623 8572.91666667 51.0313247302 315.963892185 166.066276804
-1.75763221243 1.26339040987 46.0215450971 93.6586045623 93.6586045623 8572.91666667 58.196936802 315.963892185 109.101746821
-1.22942412524 1.35571301214 6.29903473485 9.96387741689 9.96387741689 7609.80392157 45.073939436 118.037129344 103.661699922
-1.99590407305 0.958952025681 30.5629526023 57.5289773354 57.5289773354 5528.43137255 59.3428516842 322.585277468 232.759224566
-1.63655785559 1.63389145453 58.379252102 117.075282366 117.075282366 5808.03921569 56.6059378954 424.193625786 362.14320447
