[?1034husig.fChiSqRatio, usig.fChiSquare, usig.fChiSquareInd, usig.fChiSquareIndRestr, usig.fChiSquareIndRestr, usig.fRisetime, usig.fUnshapedInteg, trueChEnergy
-1.04380837799 1.13279331073 12.1657958854 20.1148425282 20.1148425282 13239.2156863 66.4835080378 0.0
-1.33701701609 1.64761836341 33.613031111 73.6711525354 73.6711525354 7201.59313725 63.2429509118 548.791664327
-3.0529805422 1.03254969028 -1.0 -1.0 -1.0 7076.97044335 54.5852495705 264.758781065
-2.56676473953 1.79601097205 -1.0 -1.0 -1.0 17990.5115512 81.7982107179 216.13249303
-0.86863574621 1.99967875234 9.07488954474 13.1837824832 13.1837824832 6952.0 69.7497079557 189.39094616
-2.76763351729 1.39506001617 -1.0 -1.0 -1.0 5644.63235294 46.1690796404 78.2459172836
-2.82886310222 0.85269461571 -1.0 -1.0 -1.0 6214.58333333 48.6689639612 194.374610883
-3.07575771708 1.29942482509 -1.0 -1.0 -1.0 6929.22794118 33.2154171198 132.857432389
-3.23662697897 0.646687017371 -1.0 -1.0 -1.0 16553.1045752 70.8437244652 73.8613023504
-2.05792531784 0.463930962993 23.4858272784 42.3962035697 42.3962035697 10163.7645108 59.0580896931 440.52498031
-1.29640368883 0.930766562115 11.011911074 22.4104684176 22.4104684176 4653.63562092 52.7779265087 34.408
-3.26768808769 0.711810278662 -1.0 -1.0 -1.0 6087.60504202 52.278170293 533.527949213
-2.80783486834 1.09916707911 -1.0 -1.0 -1.0 6868.99509804 57.9996636776 2583.38201097
-2.80783486834 1.09916707911 -1.0 -1.0 -1.0 6868.99509804 62.3875730302 2583.38201097
-3.15344087559 0.549023544304 -1.0 -1.0 -1.0 5676.17137764 56.7334518896 671.501565439
-2.85826932047 0.957742677654 -1.0 -1.0 -1.0 6118.56617647 44.4599387168 223.585668726
-3.18578772261 0.816378762642 -1.0 -1.0 -1.0 10908.8235294 33.2336759163 0.0
-3.49662390238 0.616304031074 -1.0 -1.0 -1.0 16622.9166667 61.4265779973 295.1200643
-3.49662390238 0.616304031074 -1.0 -1.0 -1.0 16622.9166667 80.1276045609 295.1200643
-1.50979848707 0.99065552613 16.2539306372 35.6434170685 35.6434170685 4329.57711443 46.7415558708 29.7813
-2.15280943708 0.476819912345 45.6180450945 88.6795282174 88.6795282174 9465.12605042 54.3831481844 1812.79369004
-3.0490178324 0.736529169315 330.075365373 604.494178625 604.494178625 5459.48529412 54.2200015236 0.0
-3.0490178324 0.736529169315 330.075365373 604.494178625 604.494178625 5459.48529412 55.7768806589 0.0
-3.26578296674 1.17974686837 -1.0 -1.0 -1.0 7394.85294118 56.806284252 248.595975898
-2.68912832049 1.09773487981 -1.0 -1.0 -1.0 3373.23481117 -31.6626447514 0.0
-0.940834961789 1.63429562502 14.0996977951 22.2064131958 22.2064131958 4269.79166667 35.5743530107 262.402934102
-3.03423848895 1.03459415878 -1.0 -1.0 -1.0 6784.375 57.2612138064 340.281954066
-1.54737740537 1.24383511946 12.1598644381 22.5678226022 22.5678226022 4990.60457516 50.6028819826 20.6741380778
-1.92053485914 0.821104575537 13.0882769621 23.3118305913 23.3118305913 5653.20197044 57.3870213396 394.977486493
-2.97257963888 0.819279112999 -1.0 -1.0 -1.0 7123.38643791 51.19165373 167.466375423
-2.75078055153 1.06509202362 -1.0 -1.0 -1.0 5445.78431373 39.0878191134 237.642499993
-3.29315328529 1.05597713635 1473.36741493 2016.73945785 2016.73945785 5568.44380271 55.4190800669 2613.60739998
-3.29315328529 1.05597713635 1473.36741493 2016.73945785 2016.73945785 5568.44380271 55.4190800669 2613.60739998
0.220708771681 2.79153672602 2.52068610033 4.19831970162 4.19831970162 8983.71954843 37.419724597 0.0
-1.45537451407 1.3515112074 23.8503991279 39.4519806675 39.4519806675 6706.25 54.4059919828 366.644429171
-3.23031049383 1.07152782769 -1.0 -1.0 -1.0 14147.9166667 42.0861565717 0.0
-3.06960932881 0.884838136237 -1.0 -1.0 -1.0 5192.6879085 44.8393783226 261.1535196
-3.05855719483 1.1232004229 -1.0 -1.0 -1.0 5974.93872549 50.6291082123 229.905741677
-2.84443014345 1.51520400927 -1.0 -1.0 -1.0 10913.6029412 58.3132052309 233.12165772
-1.15347554863 0.934120710171 4.0703130371 11.4207070253 11.4207070253 8826.04679803 66.3709318853 29.7813
-1.66078727354 1.28482633653 35.5660896387 69.9834452743 69.9834452743 14132.0197044 87.4146962854 466.623921284
-1.66078727354 1.28482633653 35.5660896387 69.9834452743 69.9834452743 14132.0197044 108.574813191 466.623921284
-3.10417185007 1.13121510693 -1.0 -1.0 -1.0 15347.7124183 59.7520117385 0.0
-2.95102042785 0.853623739876 -1.0 -1.0 -1.0 5307.91666667 58.4345576597 558.636148207
-0.453946347214 0.922886095273 2.13054835472 2.70462366184 2.70462366184 24413.1188119 71.5841782353 56.0836376865
-2.3789977726 0.893089170108 84.348785398 157.220047224 157.220047224 6289.33823529 65.3881577741 476.698260993
-2.3789977726 0.893089170108 84.348785398 157.220047224 157.220047224 6289.33823529 86.0408873151 476.698260993
-2.36655470777 0.837107397401 172.925728934 307.503943106 307.503943106 7350.14005602 56.1443082966 794.313907281
-2.13886276361 1.29239168818 168.663867091 302.796705674 302.796705674 7333.85076253 57.4006659477 1485.09163494
-1.75915141945 1.37394895052 34.2198516322 59.4370765715 59.4370765715 6211.01774043 48.3778745816 334.980477792
-3.02228328521 1.63849764892 -1.0 -1.0 -1.0 5388.57026144 52.1018516782 367.179541144
-2.96087567764 1.1851193304 -1.0 -1.0 -1.0 11673.2348112 48.7760777698 216.459378169
-2.78858109702 1.43817057497 -1.0 -1.0 -1.0 6372.79411765 40.6977048891 232.307323206
-0.886868277535 0.920419077981 5.91233781061 7.1911214802 7.1911214802 11362.377451 54.0862323984 0.0
-2.44023185725 2.06622294765 333.705861498 665.758528323 665.758528323 6686.7816092 58.0073826766 948.577308648
-2.80895377609 1.53227109105 -1.0 -1.0 -1.0 5655.04293221 55.2402553059 879.519377401
