[?1034h
usig.fChiSqRatio, usig.fChiSquare, usig.fChiSquareInd, usig.fChiSquareIndRestr, usig.fChiSquareIndRestr, usig.fRisetime, usig.fUnshapedInteg, trueChEnergy
-2.18114111985 1.17715587365 68.4408391034 117.310082074 117.310082074 4809.69187675 58.2954514203 458.693072979 396.991757145
-2.8953794269 1.15892918137 -1.0 -1.0 -1.0 2185.84863412 48.0898798155 187.670031756 104.227701994
-0.866244695151 1.02134166529 7.48460400784 13.4040695797 13.4040695797 3407.83496732 30.938466092 268.150048805 131.756815373
-2.87702060522 1.03208382477 621.860709077 965.623312546 965.623312546 4973.98835784 54.9630105909 2079.67857186 1541.83899787
-2.67484275949 1.28894345263 293.852030684 585.694698064 585.694698064 4927.17086835 54.1025695976 1159.19121331 518.061303761
-2.67484275949 1.28894345263 293.852030684 585.694698064 585.694698064 4927.17086835 54.1025695976 1159.19121331 477.076610585
-0.782839546227 1.10478693873 6.805669214 10.6142479682 10.6142479682 3467.22689076 27.0563667981 240.566260029 168.647586156
-2.42047694348 1.09611662782 160.389642352 299.175852473 299.175852473 5152.42034314 54.4461657276 865.601410722 655.599673248
-1.44792619465 1.75116857403 35.7042312202 58.526481033 58.526481033 4354.92610837 41.3276012922 343.639665986 266.244843483
-1.64315887735 0.9225751922 22.9133991431 39.3182550614 39.3182550614 6206.25 52.6148468287 297.264058675 263.966499701
-0.97919664348 0.694028686507 3.95523911759 7.48470746422 7.48470746422 5641.71568627 40.9740419221 172.65372945 136.843801286
-1.93392055609 1.07426889784 52.4027849103 95.3100763317 95.3100763317 11726.5205092 58.7219607551 410.537270547 127.763968277
-1.93392055609 1.07426889784 52.4027849103 95.3100763317 95.3100763317 11726.5205092 67.1012722972 410.537270547 241.354256382
-0.683709298716 0.881664762522 3.50644709149 5.71044225195 5.71044225195 6514.81937603 57.2130996178 112.66308761 112.82436213
-1.73130938832 0.943148035329 32.3992560691 61.9682597894 61.9682597894 7207.45798319 67.1848887594 469.205528107 230.821582811
-1.73130938832 0.943148035329 32.3992560691 61.9682597894 61.9682597894 7207.45798319 100.327801255 469.205528107 191.6111033
-1.93683963585 0.983953315169 30.7677940057 57.0546033417 57.0546033417 5308.64845938 50.7372602974 381.35656346 290.846960629
-1.74435983868 0.820777828064 15.2799121618 25.9813948654 25.9813948654 5043.75 51.5683230697 241.846631315 176.348415095
-1.38837050684 1.2854055977 15.4136358771 27.5051366506 27.5051366506 6993.4318555 66.549392309 250.89956823 218.829437406
-2.67255343933 2.07250950383 694.081984075 1004.96880892 1004.96880892 6521.26436782 52.7038835167 1912.48772887 336.467558434
-2.67255343933 2.07250950383 694.081984075 1004.96880892 1004.96880892 6521.26436782 58.1448431603 1912.48772887 1417.44683297
-1.91080985574 1.08650965579 55.1820666865 120.993292333 120.993292333 5985.14851485 56.942666686 450.089202913 412.448360253
